accession	description
"GCA_009671825.1"	"ASM967182v1 assembly for Escherichia phage vB_EcoS-12397III"
"GCA_009671845.1"	"ASM967184v1 assembly for Escherichia phage vB_EcoS-12397IV"
"GCA_009671865.1"	"ASM967186v1 assembly for Escherichia phage vB_EcoS-12397V"
"GCA_009671885.1"	"ASM967188v1 assembly for Escherichia phage vB_EcoS-12469I"
"GCA_009671965.1"	"ASM967196v1 assembly for Escherichia phage vB_EcoS-25988IV"
"GCA_009671985.1"	"ASM967198v1 assembly for Escherichia phage vB_EcoS-25988V"
"GCA_009672005.1"	"ASM967200v1 assembly for Escherichia phage vB_EcoS-26020I"
"GCA_033951735.1"	"ASM3395173v1 assembly for Escherichia coli phage NG_A1"
"GCA_033951745.1"	"ASM3395174v1 assembly for Escherichia coli phage KS_S14"
"GCA_033951755.1"	"ASM3395175v1 assembly for Escherichia coli phage AZ23"
"GCA_033951765.1"	"ASM3395176v1 assembly for Escherichia coli phage AZ21"
"GCA_033951775.1"	"ASM3395177v1 assembly for Escherichia coli phage Shin27"
"GCA_033951785.1"	"ASM3395178v1 assembly for Escherichia coli phage Wa28"
"GCA_033951795.1"	"ASM3395179v1 assembly for Escherichia coli phage NG_S8"
"GCA_009672065.1"	"ASM967206v1 assembly for Escherichia phage vB_EcoS-26020IV"
"GCA_009672085.1"	"ASM967208v1 assembly for Escherichia phage vB_EcoS-26020V"
"GCA_009672105.1"	"ASM967210v1 assembly for Escherichia phage vB_EcoS-26046I"
"GCA_009672125.1"	"ASM967212v1 assembly for Escherichia phage vB_EcoS-26046II"
"GCA_009672145.1"	"ASM967214v1 assembly for Escherichia phage vB_EcoS-26046III"
"GCA_009672165.1"	"ASM967216v1 assembly for Escherichia phage vB_EcoS-26046IV"
"GCA_009672185.1"	"ASM967218v1 assembly for Escherichia phage vB_EcoS-26046V"
"GCA_009672025.1"	"ASM967202v1 assembly for Escherichia phage vB_EcoS-26020II"
"GCA_009672045.1"	"ASM967204v1 assembly for Escherichia phage vB_EcoS-26020III"
"GCA_009672205.1"	"ASM967220v1 assembly for Escherichia phage vB_EcoS-26047I"
"GCA_009672225.1"	"ASM967222v1 assembly for Escherichia phage vB_EcoS-26047II"
"GCA_009672245.1"	"ASM967224v1 assembly for Escherichia phage vB_EcoS-26174II"
"GCA_009672265.1"	"ASM967226v1 assembly for Escherichia phage vB_EcoS-26174III"
"GCA_009672285.1"	"ASM967228v1 assembly for Escherichia phage vB_EcoS-26174IV"
"GCA_009671325.1"	"ASM967132v1 assembly for Escherichia phage vB_EcoS-26175II"
"GCA_009671345.1"	"ASM967134v1 assembly for Escherichia phage vB_EcoS-26175III"
"GCA_009671405.1"	"ASM967140v1 assembly for Escherichia phage vB_EcoM-12474II"
"GCA_009671425.1"	"ASM967142v1 assembly for Escherichia phage vB_EcoM-12474III"
"GCA_009671445.1"	"ASM967144v1 assembly for Escherichia phage vB_EcoM-12474IV"
"GCA_009671465.1"	"ASM967146v1 assembly for Escherichia phage vB_EcoM-12474V"
"GCA_009671525.1"	"ASM967152v1 assembly for Escherichia phage vB_EcoS-2004V"
"GCA_009671545.1"	"ASM967154v1 assembly for Escherichia phage vB_EcoS-2005III"
"GCA_009671565.1"	"ASM967156v1 assembly for Escherichia phage vB_EcoS-2005IV"
"GCA_009671585.1"	"ASM967158v1 assembly for Escherichia phage vB_EcoS-2006III"
"GCA_009671605.1"	"ASM967160v1 assembly for Escherichia phage vB_EcoS-2006IV"
"GCA_009671625.1"	"ASM967162v1 assembly for Escherichia phage vB_EcoS-2006V"
"GCA_009671645.1"	"ASM967164v1 assembly for Escherichia phage vB_EcoS-2862I"
"GCA_009671665.1"	"ASM967166v1 assembly for Escherichia phage vB_EcoS-2862II"
"GCA_009671685.1"	"ASM967168v1 assembly for Escherichia phage vB_EcoS-2862III"
"GCA_009671705.1"	"ASM967170v1 assembly for Escherichia phage vB_EcoS-2862IV"
"GCA_009671725.1"	"ASM967172v1 assembly for Escherichia phage vB_EcoS-2862V"
"GCA_009671745.1"	"ASM967174v1 assembly for Escherichia phage vB_EcoS-12210I"
"GCA_009671765.1"	"ASM967176v1 assembly for Escherichia phage vB_EcoS-12210III"
"GCA_009671785.1"	"ASM967178v1 assembly for Escherichia phage vB_EcoS-12397I"
"GCA_009671805.1"	"ASM967180v1 assembly for Escherichia phage vB_EcoS-12397II"
"GCA_009671905.1"	"ASM967190v1 assembly for Escherichia phage vB_EcoS-12469II"
"GCA_009671925.1"	"ASM967192v1 assembly for Escherichia phage vB_EcoS-12469III"
"GCA_009671945.1"	"ASM967194v1 assembly for Escherichia phage vB_EcoS-25988I"
"GCA_021864545.1"	"ASM2186454v1 assembly for Xanthomonas campestris pv. campestris"
"GCA_021864855.1"	"ASM2186485v1 assembly for Xanthomonas campestris pv. campestris"
"GCA_021864915.1"	"ASM2186491v1 assembly for Xanthomonas campestris pv. campestris"
"GCA_021864935.1"	"ASM2186493v1 assembly for Xanthomonas campestris pv. campestris"
"GCA_001660505.1"	"ASM166050v1 assembly for Vibrio anguillarum"
"GCA_001990045.1"	"ASM199004v1 assembly for Vibrio anguillarum"
"GCA_001990085.1"	"ASM199008v1 assembly for Vibrio anguillarum"
"GCA_001990105.1"	"ASM199010v1 assembly for Vibrio anguillarum"
"GCA_023278345.1"	"ASM2327834v1 assembly for Xanthomonas campestris pv. campestris"
"GCA_021864585.1"	"ASM2186458v1 assembly for Xanthomonas campestris pv. campestris"
"GCA_021864635.1"	"ASM2186463v1 assembly for Xanthomonas campestris pv. campestris"
"GCA_021864655.1"	"ASM2186465v1 assembly for Xanthomonas campestris pv. campestris"
"GCA_021864715.1"	"ASM2186471v1 assembly for Xanthomonas campestris pv. campestris"
"GCA_021864735.1"	"ASM2186473v1 assembly for Xanthomonas campestris"
"GCA_001989715.1"	"ASM198971v1 assembly for Vibrio anguillarum"
"GCA_001989835.1"	"ASM198983v1 assembly for Vibrio anguillarum"
"GCA_001989855.1"	"ASM198985v1 assembly for Vibrio anguillarum"
"GCA_001989875.1"	"ASM198987v1 assembly for Vibrio anguillarum"
"GCA_023206795.1"	"ASM2320679v1 assembly for Xanthomonas campestris pv. campestris"
"GCA_001989675.1"	"ASM198967v1 assembly for Vibrio anguillarum"
"GCA_001989695.1"	"ASM198969v1 assembly for Vibrio anguillarum"
"GCA_001989735.1"	"ASM198973v1 assembly for Vibrio anguillarum"
"GCA_001989755.1"	"ASM198975v1 assembly for Vibrio anguillarum"
"GCA_001989775.1"	"ASM198977v1 assembly for Vibrio anguillarum"
"GCA_001989795.1"	"ASM198979v1 assembly for Vibrio anguillarum"
"GCA_001989815.1"	"ASM198981v1 assembly for Vibrio anguillarum"
"GCA_001989895.1"	"ASM198989v1 assembly for Vibrio anguillarum"
"GCA_001989915.1"	"ASM198991v1 assembly for Vibrio anguillarum"
"GCA_001989935.1"	"ASM198993v1 assembly for Vibrio anguillarum"
"GCA_021864555.1"	"ASM2186455v1 assembly for Xanthomonas campestris pv. campestris"
"GCA_021864745.1"	"ASM2186474v1 assembly for Xanthomonas campestris pv. campestris"
"GCA_021864795.1"	"ASM2186479v1 assembly for Xanthomonas campestris pv. raphani"
"GCA_021864815.1"	"ASM2186481v1 assembly for Xanthomonas campestris pv. campestris"
"GCA_021864835.1"	"ASM2186483v1 assembly for Xanthomonas campestris pv. campestris"
"GCA_021864895.1"	"ASM2186489v1 assembly for Xanthomonas campestris pv. campestris"
"GCA_021864955.1"	"ASM2186495v1 assembly for Xanthomonas campestris pv. campestris"
"GCA_021864975.1"	"ASM2186497v1 assembly for Xanthomonas campestris pv. campestris"
"GCA_021864995.1"	"ASM2186499v1 assembly for Xanthomonas campestris pv. campestris"
"GCA_021864665.1"	"ASM2186466v1 assembly for Xanthomonas campestris pv. campestris"
"GCA_021864695.1"	"ASM2186469v1 assembly for Xanthomonas campestris pv. campestris"
"GCA_021864775.1"	"ASM2186477v1 assembly for Xanthomonas campestris pv. campestris"
"GCA_021864875.1"	"ASM2186487v1 assembly for Xanthomonas campestris pv. campestris"
"GCA_036282725.1"	"ASM3628272v1 assembly for Aeromonas dhakensis"
"GCA_001989995.1"	"ASM198999v1 assembly for Vibrio anguillarum"
"GCA_001990065.1"	"ASM199006v1 assembly for Vibrio anguillarum"
"GCA_001990125.1"	"ASM199012v1 assembly for Vibrio anguillarum"
"GCA_034718695.1"	"ASM3471869v1 assembly for Pseudomonas mosselii"
"GCA_009746385.1"	"ASM974638v1 assembly for Klebsiella pneumoniae"
"GCA_949787955.1"	"MILEL assembly for Kayfunavirus sp. EcoIv39_Milel"
"GCA_038051325.2"	"ASM3805132v1 assembly for Pseudomonas phage UNO-G1W1"
"GCA_038051325.1"	"ASM3805132v1 assembly for Pseudomonas phage UNO-G1W1"
"GCA_002869975.1"	"ASM286997v1 assembly for Lelliottia sp. F159"
"GCA_002870005.1"	"ASM287000v1 assembly for Lelliottia sp. F153"
"GCA_002870015.1"	"ASM287001v1 assembly for Lelliottia sp. F154"
"GCA_009746145.1"	"ASM974614v1 assembly for Klebsiella pneumoniae"
"GCA_009746155.1"	"ASM974615v1 assembly for Klebsiella pneumoniae"
"GCA_009746165.1"	"ASM974616v1 assembly for Klebsiella pneumoniae"
"GCA_009746175.1"	"ASM974617v1 assembly for Klebsiella quasipneumoniae"
"GCA_009746185.1"	"ASM974618v1 assembly for Klebsiella pneumoniae"
"GCA_009746205.1"	"ASM974620v1 assembly for Klebsiella pneumoniae"
"GCA_009746245.1"	"ASM974624v1 assembly for Klebsiella pneumoniae"
"GCA_009746265.1"	"ASM974626v1 assembly for Klebsiella pneumoniae"
"GCA_009746275.1"	"ASM974627v1 assembly for Klebsiella pneumoniae"
"GCA_009746285.1"	"ASM974628v1 assembly for Klebsiella pneumoniae"
"GCA_009746315.1"	"ASM974631v1 assembly for Klebsiella pneumoniae"
"GCA_009746325.1"	"ASM974632v1 assembly for Klebsiella pneumoniae"
"GCA_009746365.1"	"ASM974636v1 assembly for Klebsiella pneumoniae"
"GCA_009746375.1"	"ASM974637v1 assembly for Klebsiella pneumoniae"
"GCA_009746405.1"	"ASM974640v1 assembly for Klebsiella pneumoniae"
"GCA_009746435.1"	"ASM974643v1 assembly for Klebsiella pneumoniae"
"GCA_949788795.1"	"EMLIS assembly for Kayfunavirus sp. EcoIv1_Emlis"
"GCA_949792685.1"	"LEWI assembly for Escherichia phage EcoIv28_Lewi"
"GCA_030384925.1"	"ASM3038492v1 assembly for Pseudomonas phage FJK"
"GCA_030384935.1"	"ASM3038493v1 assembly for Pseudomonas phage FIM"
"GCA_949789905.1"	"BIA assembly for Kayfunavirus sp. EcoIv41_Bia"
"GCA_949790325.1"	"KENTE assembly for Dhillonvirus sp. EcoIv6a_Kente"
"GCA_949790825.1"	"AYA assembly for Vequintavirinae sp. EcoIv14a_Aya"
"GCA_949794025.1"	"MIDID assembly for Kayfunavirus sp. EcoIv10b_Midid"
"GCA_041154335.1"	"ASM4115433v1 assembly for Pseudomonas aeruginosa"
"GCA_006339495.1"	"ASM633949v1 assembly for Listeria ivanovii"
"GCA_006339625.1"	"ASM633962v1 assembly for Listeria seeligeri"
"GCA_018409145.1"	"ASM1840914v1 assembly for Staphylococcus aureus"
"GCA_018409365.1"	"ASM1840936v1 assembly for Pseudomonas aeruginosa"
"GCA_036324425.1"	"ASM3632442v1 assembly for Pseudomonas syringae pv. syringae"
"GCA_009903655.1"	"ASM990365v1 assembly for Escherichia phage vB_EcoS-26174I"
"GCA_000886215.1"	"ViralProj42943 assembly for Enterococcus phage phiEf11"
"GCA_025118045.1"	"ASM2511804v1 assembly for Pseudomonas phage sp. Brmt"
"GCA_025118055.1"	"ASM2511805v1 assembly for Pseudomonas phage sp. 30-1"
"GCA_025118065.1"	"ASM2511806v1 assembly for Pseudomonas phage sp. 30-2"
"GCA_025118075.1"	"ASM2511807v1 assembly for Pseudomonas phage sp. 30-3"
"GCA_025118085.1"	"ASM2511808v1 assembly for Pseudomonas phage sp. LC"
"GCA_025118095.1"	"ASM2511809v1 assembly for Pseudomonas phage sp. LP"
"GCA_029853905.1"	"ASM2985390v1 assembly for Pseudomonas phage BRkr"
"GCA_900070375.1"	"PAO1OR assembly for Pseudomonas aeruginosa"
"GCA_020535975.1"	"ASM2053597v1 assembly for Streptococcus phage SG005"
"GCA_001998845.1"	"ASM199884v1 assembly for Vibrio anguillarum"
"GCA_017654475.1"	"ASM1765447v1 assembly for Escherichia phage NiC89"
"GCA_025118105.1"	"ASM2511810v1 assembly for Pseudomonas phage sp. NK1"
"GCA_022392325.1"	"ASM2239232v1 assembly for Pectobacterium carotovorum"
"GCA_022392805.1"	"ASM2239280v1 assembly for Pectobacterium carotovorum"
"GCA_001989655.1"	"ASM198965v1 assembly for Vibrio anguillarum"
"GCA_002071825.1"	"ASM207182v1 assembly for Trueperella pyogenes"
"GCA_024753165.1"	"ASM2475316v1 assembly for Curtobacterium flaccumfaciens pv. flaccumfaciens"
"GCA_001990025.1"	"ASM199002v1 assembly for Vibrio anguillarum"
"GCA_000302555.2"	"ASM30255v2 assembly for Campylobacter jejuni subsp. jejuni PT14"
"GCA_000302555.1"	"ASM30255v1 assembly for Campylobacter jejuni subsp. jejuni PT14"
"GCA_014100815.1"	"ASM1410081v1 assembly for Thermus thermophilus"
"GCA_029340025.1"	"RC93_19017_UC assembly for Bifidobacterium catenulatum"
"GCA_029340115.1"	"RC10_19003_HHC assembly for Bifidobacterium adolescentis"
"GCA_029340125.1"	"RC9_19002_UC assembly for Bifidobacterium longum"
"GCA_029340185.1"	"RC28_18993_HHC assembly for Bifidobacterium longum"
"GCA_029340205.1"	"RC92_19017_UC assembly for Bifidobacterium catenulatum"
"GCA_029340215.1"	"RC30_18993_HHC assembly for Bifidobacterium longum"
"GCA_010634855.1"	"ASM1063485v1 assembly for Microbacterium sp. B35-30"
"GCA_010634885.1"	"ASM1063488v1 assembly for Microbacterium sp. B35-04"
"GCA_015865025.1"	"ASM1586502v1 assembly for Pseudomonas syringae pv. tomato"
"GCA_029340035.1"	"RC1_18990_UC assembly for Bifidobacterium pseudocatenulatum"
"GCA_029340055.1"	"RC3_18990_UC assembly for Bifidobacterium longum"
"GCA_029340075.1"	"RC158_19046_CD assembly for Bifidobacterium breve"
"GCA_029340105.1"	"RC7_19002_UC assembly for Bifidobacterium adolescentis"
"GCA_029340165.1"	"RC150_19034_HHC assembly for Bifidobacterium animalis"
"GCA_029340235.1"	"RC12_19003_HHC assembly for Bifidobacterium adolescentis"
"GCA_033142195.1"	"ASM3314219v1 assembly for Arthrobacter sp. B10-11"
"GCA_000302555.4"	"ASM30255v4 assembly for Campylobacter jejuni subsp. jejuni PT14"
"GCA_000302555.3"	"ASM30255v3 assembly for Campylobacter jejuni subsp. jejuni PT14"
"GCA_032144065.1"	"ASM3214406v1 assembly for Eisenbergiella tayi"
"GCA_032144135.1"	"ASM3214413v1 assembly for Bacteroides thetaiotaomicron"
"GCA_032144195.1"	"ASM3214419v1 assembly for Akkermansia muciniphila"
"GCA_032144115.1"	"ASM3214411v1 assembly for Bacteroides uniformis"
"GCA_032144155.1"	"ASM3214415v1 assembly for Bacteroides cellulosilyticus"
"GCA_032144175.1"	"ASM3214417v1 assembly for Bacteroides koreensis"
"GCA_032142755.1"	"ASM3214275v1 assembly for Ruminococcus bromii"
"GCA_032142795.1"	"ASM3214279v1 assembly for Blautia coccoides"
"GCA_032142815.1"	"ASM3214281v1 assembly for Blautia faecis"
"GCA_030438665.1"	"ASM3043866v1 assembly for Salmonella phage ST11_da Silva-2023"
"GCA_030438675.1"	"ASM3043867v1 assembly for Salmonella phage ST3_da Silva-2023"
"GCA_030438685.1"	"ASM3043868v1 assembly for Salmonella phage ST1_da Silva-2023"
"GCA_033951715.1"	"ASM3395171v1 assembly for Staphylococcus phage phiRNIID"
"GCA_033951725.1"	"ASM3395172v1 assembly for Staphylococcus phage phiSNIID"
"GCA_030439105.1"	"ASM3043910v1 assembly for Salmonella phage ST34"
"GCA_030439115.1"	"ASM3043911v1 assembly for Salmonella phage ST35"
"GCA_030439125.1"	"ASM3043912v1 assembly for Salmonella phage ST37"
"GCA_030439155.1"	"ASM3043915v1 assembly for Salmonella phage ST38"
"GCA_030439165.1"	"ASM3043916v1 assembly for Salmonella phage ST44"
"GCA_030439175.1"	"ASM3043917v1 assembly for Salmonella phage ST45"
"GCA_030439185.1"	"ASM3043918v1 assembly for Salmonella phage ST46"
"GCA_030439205.1"	"ASM3043920v1 assembly for Salmonella phage ST55"
"GCA_030439215.1"	"ASM3043921v1 assembly for Salmonella phage ST56"
"GCA_030439235.1"	"ASM3043923v1 assembly for Salmonella phage ST57"
"GCA_030439255.1"	"ASM3043925v1 assembly for Salmonella phage ST59"
"GCA_030439275.1"	"ASM3043927v1 assembly for Salmonella phage ST64"
"GCA_030439035.1"	"ASM3043903v1 assembly for Salmonella phage ST10"
"GCA_030439045.1"	"ASM3043904v1 assembly for Salmonella phage ST15"
"GCA_030439085.1"	"ASM3043908v1 assembly for Salmonella phage ST21"
"GCA_030439195.1"	"ASM3043919v1 assembly for Salmonella phage ST53"
"GCA_030439265.1"	"ASM3043926v1 assembly for Salmonella phage ST63"
"GCA_030439325.1"	"ASM3043932v1 assembly for Salmonella phage ST65"
"GCA_030439335.1"	"ASM3043933v1 assembly for Salmonella phage ST66"
"GCA_030439055.1"	"ASM3043905v1 assembly for Salmonella phage ST16"
"GCA_030439065.1"	"ASM3043906v1 assembly for Salmonella phage ST17"
"GCA_030439075.1"	"ASM3043907v1 assembly for Salmonella phage ST20"
"GCA_030439095.1"	"ASM3043909v1 assembly for Salmonella phage ST29"
"GCA_004101965.1"	"ASM410196v1 assembly for Acinetobacter baumannii"
"GCA_004101985.1"	"ASM410198v1 assembly for Acinetobacter baumannii"
"GCA_027586975.1"	"ASM2758697v1 assembly for Vibrio sp. ART SEL2"
"GCA_027586995.1"	"ASM2758699v1 assembly for Vibrio sp. La 4.2.2"
"GCA_027587015.1"	"ASM2758701v1 assembly for Vibrio sp. Makdt"
"GCA_027587025.1"	"ASM2758702v1 assembly for Vibrio sp. LaRot3"
"GCA_027587055.1"	"ASM2758705v1 assembly for Vibrio sp. MarTm2"
"GCA_027587075.1"	"ASM2758707v1 assembly for Vibrio sp. 2art"
"GCA_027587095.1"	"ASM2758709v1 assembly for Vibrio sp. NFR"
"GCA_027587105.1"	"ASM2758710v1 assembly for Vibrio sp. RW"
"GCA_027587135.1"	"ASM2758713v1 assembly for Vibrio sp. MM46"
"GCA_027587155.1"	"ASM2758715v1 assembly for Vibrio sp. T11.5"
"GCA_000013425.1"	"ASM1342v1 assembly for Staphylococcus aureus subsp. aureus NCTC 8325"
"GCA_023700135.2"	"ASM2370013v1 assembly for Klebsiella phage vB_KshKPC-M"
"GCA_042218145.1"	"ASM4221814v1 assembly for Staphylococcus aureus"
"GCA_042218155.1"	"ASM4221815v1 assembly for Escherichia coli"
"GCA_037029855.1"	"ASM3702985v1 assembly for Klebsiella pneumoniae"
"GCA_037029905.1"	"ASM3702990v1 assembly for Klebsiella pneumoniae"
"GCA_037031185.1"	"ASM3703118v1 assembly for Klebsiella pneumoniae"
"GCA_037031245.1"	"ASM3703124v1 assembly for Klebsiella pneumoniae"
"GCA_037031255.1"	"ASM3703125v1 assembly for Klebsiella pneumoniae"
"GCA_040901325.1"	"ASM4090132v1 assembly for Pseudomonas aeruginosa"
"GCA_040901345.1"	"ASM4090134v1 assembly for Pseudomonas aeruginosa"
"GCA_040901355.1"	"ASM4090135v1 assembly for Pseudomonas aeruginosa"
"GCA_040900795.1"	"ASM4090079v1 assembly for Pseudomonas aeruginosa"
"GCA_040900815.1"	"ASM4090081v1 assembly for Pseudomonas aeruginosa"
"GCA_040900845.1"	"ASM4090084v1 assembly for Pseudomonas aeruginosa"
"GCA_040900865.1"	"ASM4090086v1 assembly for Pseudomonas aeruginosa"
"GCA_040900885.1"	"ASM4090088v1 assembly for Pseudomonas aeruginosa"
"GCA_040900905.1"	"ASM4090090v1 assembly for Pseudomonas aeruginosa"
"GCA_040900925.1"	"ASM4090092v1 assembly for Pseudomonas aeruginosa"
"GCA_040900945.1"	"ASM4090094v1 assembly for Pseudomonas aeruginosa"
"GCA_040900965.1"	"ASM4090096v1 assembly for Pseudomonas aeruginosa"
"GCA_040900985.1"	"ASM4090098v1 assembly for Pseudomonas aeruginosa"
"GCA_040901005.1"	"ASM4090100v1 assembly for Pseudomonas aeruginosa"
"GCA_040901025.1"	"ASM4090102v1 assembly for Pseudomonas aeruginosa"
"GCA_040901045.1"	"ASM4090104v1 assembly for Pseudomonas aeruginosa"
"GCA_040901065.1"	"ASM4090106v1 assembly for Pseudomonas aeruginosa"
"GCA_040901085.1"	"ASM4090108v1 assembly for Pseudomonas aeruginosa"
"GCA_040901105.1"	"ASM4090110v1 assembly for Pseudomonas aeruginosa"
"GCA_040901125.1"	"ASM4090112v1 assembly for Pseudomonas aeruginosa"
"GCA_040901135.1"	"ASM4090113v1 assembly for Pseudomonas aeruginosa"
"GCA_040901165.1"	"ASM4090116v1 assembly for Pseudomonas aeruginosa"
"GCA_040901185.1"	"ASM4090118v1 assembly for Pseudomonas aeruginosa"
"GCA_040901205.1"	"ASM4090120v1 assembly for Pseudomonas aeruginosa"
"GCA_040901225.1"	"ASM4090122v1 assembly for Pseudomonas aeruginosa"
"GCA_040901235.1"	"ASM4090123v1 assembly for Pseudomonas aeruginosa"
"GCA_040901265.1"	"ASM4090126v1 assembly for Pseudomonas aeruginosa"
"GCA_040901285.1"	"ASM4090128v1 assembly for Pseudomonas aeruginosa"
"GCA_040901295.1"	"ASM4090129v1 assembly for Pseudomonas aeruginosa"
"GCA_040901375.1"	"ASM4090137v1 assembly for Pseudomonas aeruginosa"
"GCA_040901405.1"	"ASM4090140v1 assembly for Pseudomonas aeruginosa"
"GCA_040901415.1"	"ASM4090141v1 assembly for Pseudomonas aeruginosa"
"GCA_000431875.1"	"MGS24 assembly for Firmicutes bacterium CAG:24"
"GCA_000431895.1"	"MGS603 assembly for Eubacterium sp. CAG:603"
"GCA_000431915.1"	"MGS386 assembly for Prevotella sp. CAG:386"
"GCA_000432195.1"	"MGS424 assembly for Firmicutes bacterium CAG:424"
"GCA_000432475.1"	"MGS127 assembly for Clostridium sp. CAG:127"
"GCA_000432495.1"	"MGS558 assembly for Bacteroides fragilis CAG:558"
"GCA_000432515.1"	"MGS545 assembly for Bacteroides sp. CAG:545"
"GCA_000432615.1"	"MGS135 assembly for Sutterella wadsworthensis CAG:135"
"GCA_000432635.1"	"MGS28 assembly for Dorea formicigenerans CAG:28"
"GCA_000432655.1"	"MGS1060 assembly for Bacteroides sp. CAG:1060"
"GCA_000431015.1"	"MGS514 assembly for Alistipes sp. CAG:514"
"GCA_000431295.1"	"MGS325 assembly for Acidaminococcus intestini CAG:325"
"GCA_000431315.1"	"MGS484 assembly for Brachyspira sp. CAG:484"
"GCA_000431335.1"	"MGS343 assembly for Clostridium sp. CAG:343"
"GCA_000431355.1"	"MGS60 assembly for Ruminococcus sp. CAG:60"
"GCA_000431415.1"	"MGS621 assembly for Peptostreptococcus anaerobius CAG:621"
"GCA_000431435.1"	"MGS933 assembly for Veillonella sp. CAG:933"
"GCA_000431455.1"	"MGS233 assembly for Parasutterella excrementihominis CAG:233"
"GCA_000431475.1"	"MGS364 assembly for Lachnospiraceae bacterium CAG:364"
"GCA_000431495.1"	"MGS791 assembly for Firmicutes bacterium CAG:791"
"GCA_000431575.1"	"MGS83 assembly for Firmicutes bacterium CAG:83"
"GCA_000431595.1"	"MGS700 assembly for Brachyspira sp. CAG:700"
"GCA_000431615.1"	"MGS41 assembly for Firmicutes bacterium CAG:41"
"GCA_000431635.1"	"MGS20 assembly for Bacteroides sp. CAG:20"
"GCA_000436375.1"	"MGS239 assembly for Azospirillum sp. CAG:239"
"GCA_000436435.1"	"MGS22 assembly for Bacteroides ovatus CAG:22"
"GCA_000436495.1"	"MGS409 assembly for Parabacteroides sp. CAG:409"
"GCA_000436515.1"	"MGS109 assembly for Bacteroides eggerthii CAG:109"
"GCA_000436575.1"	"MGS265 assembly for Clostridium sp. CAG:265"
"GCA_000436595.1"	"MGS1124 assembly for Prevotella sp. CAG:1124"
"GCA_000436655.1"	"MGS160 assembly for Bacteroides clarus CAG:160"
"GCA_000436695.1"	"MGS1185 assembly for Prevotella sp. CAG:1185"
"GCA_000436755.1"	"MGS253 assembly for Clostridium sp. CAG:253"
"GCA_000436835.1"	"MGS251 assembly for Eubacterium sp. CAG:251"
"GCA_000436855.1"	"MGS203 assembly for Bacteroides finegoldii CAG:203"
"GCA_000436915.1"	"MGS1092 assembly for Prevotella sp. CAG:1092"
"GCA_000436995.1"	"MGS39 assembly for Blautia obeum CAG:39"
"GCA_000437095.1"	"MGS471 assembly for Roseburia sp. CAG:471"
"GCA_000437155.1"	"MGS289 assembly for Collinsella sp. CAG:289"
"GCA_000437175.1"	"MGS330 assembly for Ruminococcus sp. CAG:330"
"GCA_000437235.1"	"MGS826 assembly for Coprobacillus sp. CAG:826"
"GCA_000437255.1"	"MGS403 assembly for Ruminococcus sp. CAG:403"
"GCA_000438255.1"	"MGS389 assembly for Clostridium sp. CAG:389"
"GCA_000438275.1"	"MGS37 assembly for Blautia sp. CAG:37"
"GCA_000438295.1"	"MGS451 assembly for Clostridium sp. CAG:451"
"GCA_000438315.1"	"MGS353 assembly for Ruminococcus sp. CAG:353"
"GCA_000438335.1"	"MGS588 assembly for Dialister sp. CAG:588"
"GCA_000438395.1"	"MGS98 assembly for Bacteroides sp. CAG:98"
"GCA_000438415.1"	"MGS628 assembly for Clostridium sp. CAG:628"
"GCA_000438435.1"	"MGS624 assembly for Ruminococcus sp. CAG:624"
"GCA_000432755.1"	"MGS380 assembly for Roseburia sp. CAG:380"
"GCA_000432775.1"	"MGS831 assembly for Alistipes sp. CAG:831"
"GCA_000432815.1"	"MGS45 assembly for Roseburia sp. CAG:45"
"GCA_000432835.1"	"MGS417 assembly for Clostridium sp. CAG:417"
"GCA_000432875.1"	"MGS466 assembly for Firmicutes bacterium CAG:466"
"GCA_000432895.1"	"MGS449 assembly for Firmicutes bacterium CAG:449"
"GCA_000432915.1"	"MGS194 assembly for Firmicutes bacterium CAG:194"
"GCA_000432935.1"	"MGS561 assembly for Odoribacter laneus CAG:561"
"GCA_000432975.1"	"MGS349 assembly for Clostridium sp. CAG:349"
"GCA_000432995.1"	"MGS1013 assembly for Clostridium sp. CAG:1013"
"GCA_000433035.1"	"MGS324 assembly for Staphylococcus sp. CAG:324"
"GCA_000433055.1"	"MGS183 assembly for Coprobacillus sp. CAG:183"
"GCA_000433075.1"	"MGS782 assembly for Coprococcus sp. CAG:782"
"GCA_000433095.1"	"MGS967 assembly for Clostridium sp. CAG:967"
"GCA_000433115.1"	"MGS382 assembly for Ruminococcus sp. CAG:382"
"GCA_000433135.1"	"MGS921 assembly for Clostridium sp. CAG:921"
"GCA_000433175.1"	"MGS1058 assembly for Prevotella sp. CAG:1058"
"GCA_000433195.1"	"MGS129 assembly for Firmicutes bacterium CAG:129"
"GCA_000433235.1"	"MGS196 assembly for Acinetobacter sp. CAG:196"
"GCA_000433255.1"	"MGS605 assembly for Coprobacillus sp. CAG:605"
"GCA_000433275.1"	"MGS218 assembly for Dialister invisus CAG:218"
"GCA_000433295.1"	"MGS665 assembly for Coprococcus eutactus CAG:665"
"GCA_000433335.1"	"MGS1219 assembly for Clostridium sp. CAG:1219"
"GCA_000433355.1"	"MGS435 assembly for Alistipes sp. CAG:435"
"GCA_000433395.1"	"MGS224 assembly for Hungatella hathewayi CAG:224"
"GCA_000435415.1"	"MGS875 assembly for Bacteroides sp. CAG:875"
"GCA_000435435.1"	"MGS29 assembly for Alistipes sp. CAG:29"
